DATE_DAY,,MORNING( 10;00 AM TO 1;00 PM) ,,,,,,EVENING (2;00 PM TO 5;00 PM) ,,,,,
20.01.2022,MHD02/ MPS01/MSO001/MEC001/ MEC101/ MLI101/ ,,,,,MEG01/ MSK01/ MHI01/ MPC01/MPA001/ MPA011/ MANI001/ ,,,,,,,
20.01.2022,MGP001/ MFN001/ MSW001/ MES011/ MPY001/ MFC001/ ,,,,,MCFT001/ MDE411/ MTM01/MTTM01/ MEV11/ MEVE11/ MDV101/,,,,,,,
20.01.2022,MWG001/ MTT010/ MJM001/ MJM020/ MS01/ PGDT01/,,,,,MGS001/ MMT001/,,MVA020/ MST001/ MCH001/,MPC051/ / MEDS051/ ,,,,
20.01.2022,MED001/ MLI001/MES004/ MES081/ MAW001/ MIP101/ ,,,,,MLE011/,MSD011/,MBP001/ MCS011/MCS201/MCS211/ BLI011/ ,,,,,
20.01.2022,MEV001/ BCS011/ IBO1/ DECE01/ BNS041/ MEDS001 ,,,,,,,,,,,,
20.01.2022,,,,,,BAB101/ BLI222/ MHYI044/ BPVI002/,,BPVI011/,CNSHC001/,,,,
20.01.2022,BLE004/ BEDS004/,,BEG005/,BES016/ BFEE102/ BHC014/,,OSEI041/,OULE001/ OUL001/ MIS21/ CNS-AH001/MGS041/ BMS001/,,,,,,
20.01.2022,BHME102/ BNS014/ BNS102/ BPOI004/,,,,BPR005/ BYG001/,BSL001/ CHR11/ BSMA001/BEV001/ ONR001/ BPYE001/ BSHF101/,,,,,,,
20.01.2022,DCE04/ DTG004/ MCMM004/ MCMM104/ MIR011/,,,,,BSSI011/,LSE02/ ,,,,,,
20.01.2022,MEV024/ MVE001/ /BNRI101/ BPVI031/,,,,,,,,,,,,
20.01.2022,BAP001/BRL006/ES331/ BPVI041/MVEI011/ BFDI071/,,,,,,,,,,,,
20.01.2022,MME201/ MME301/,,AWRE01/ /ECO12/BGP01/ ,,,,,,,,,,
21.01.2022 ,MHD03/ MPS02/ MEC002/ MLII101/ MGP002/,,,,MFN002/,MEG02/ MSK02/ MHI02/ MPC02/ MPA002/,,,MPA012/ MANI002/,,,,
21.01.2022,MSW002/,MES012/ MAE005/ MPYE001/ MFC002/,,,,MRD102/,MCFT002/,MDE412/ MTM02/MTTM02/,,MEV12/,MEVE12/,,
21.01.2022,MWG002/,MTT011/,MJM002/ MJM021/,,MS02/,PGDT02/,MDV102/,MGS002/ MMT002/,MST002/,MCH002/,MPC052/ MEDS052/,,
21.01.2022,MLI002/,MES005/,MES082/,MAW002/ MIP102/,MEV002/,MLE012/,MSD012/ MBP002 / MCS012/ MCS202/ MCS212/ ,,,,,,
21.01.2022,MEDS002/ ,,,,,,,,,,,,
21.01.2022,BCS012/ IBO2/ DECE02/ BNS042/ ,,,,,BSM001/ BEV002/ MME011/ MIS22/CNS-AH002/MGS042/,,,,LSE06/,,,
21.01.2022,,,,,,BEGC131/ / BBCCT101/,,BLII012 ,,,,,
21.01.2022,AFWE01/ BHDA101/ BEGA001/ BPOI003/ BRL001/ES332/,,,,,,,,,,,,
21.01.2022,BGP2/BCS091/BYG002/ /BFDI072/ ,,,,,,,,,,,,
22.01.2022 ,MHD04/ MSO003/ MEC003/ MEC103/ MLI102/ MGP003/,,,,,MEG03/ MSK03/ MHI04/,,MPC03/,MPA003/MPA013/MAN001/,,,,
22.01.2022,MFN003/,MSW005/,MES013/ MAEE001/ MESE061 /,,,MRD103/,MCFT003/,MDE413/MTM03/ MTTM03/,,MEV13/,MEVE13/,,
22.01.2022,MPYE002/ MFC003/,,MWG003/,MTT012/,MJM003/,MDV103/,MGS003/,MMT004/,MST003/ MCH003/ MPC053/ MEDS053/,,,,
22.01.2022,MJM022/,MS03/,PGDT03/,MED003/MED009/,MLI003/,MLE013/,MSD013/,MBP003/ MCS013/ MCS203/ MCS213/ ,,,,,
22.01.2022,MES006/,MES083/,MAW003/,MIP103/,MEV003/ MPS003/,,,,,,,,
22.01.2022,BCS031/ IBO3/ DECE03 ,,,,,Group-6 ( EHD04/BEGE104/ /BEGE107/EPS06/EPS09/EEC07/,,,,,,,
22.01.2022,,,,,,BECE107/,EHI06/EPA06/ESO16/ MTE13/ BPY011/,,,BULE-006/)/ ,,,
22.01.2022,BAPI001/ BES018/ BFEE104/ BHME104/ BNS032/,,,,BNS103/,,,,,,,,
22.01.2022,BPOI001/ BWEE005/ CFN02/,,,MGY002/,MIR013/,MVE002/,BAB103/ BPVI003/ BPVI012/ OULE002/ BLI223/ BSW043/ OSEI042/ /,,,,,,
22.01.2022,BFDI073/ BPVI042/ BLP001/ MME202/MME302/ BPVI021/,,,,,BMS002/,BLII013 ,,,,,,
22.01.2022,BNRI102/ BPVI032/ BRL008/ BSM005/ES333/ BGP3/,,,,,,,,,,,,
22.01.2022,BCS092/,/ ,,,,,,,,,,,
24.01.2022 ,MHD06/ MPS004/ MSO004/ MEC004/ MLII102/,,,,,MFN004 /,MEG04/ MSK05/ MHI05/,MPC04/ MPA004/,,MPA014/ MAN002/,,,
24.01.2022,MSW003/,MES014/ MAEE002/ MESE062/,,,MPYE003/ ,,MRD004 / MCFT004/ MSW012/,,MDE414/ MTM04/MTTM04/,,,MEV14/,
24.01.2022,MFC004/,MWG004/,MTT013/,MJM023/,MS04/,PGDT04/,MDV004/,MGS004/ MMT005/ MST004/,,MCH004/,MPC054/ MEDS054/,,
24.01.2022,MLI004/ MES007/,,MES084/,MAW004/ MIP104/,,MEV004/,MLE014/ MSD014/,MBP004/,MCS014/MCS206/MCS214/ ,,,,
24.01.2022,BCS040/ ,,,,,,,,,,,,
24.01.2022,,,,,,,BAB104/,BLI224/,BMS003/ ORU001/ OULE005/ BSW044/ BSWE002/,,,,
24.01.2022,AHE01/ BAPI002/ BES019/ BHME105/ BNS104/,,,,,BPOI002/,OUL002/ BSM002/ BLII014/BSL002/ CHR12/ PHE15/ BEV003/ MME012/,,,,,,
